"label","plate no.","exp_no","cell","treatment","treatment_label","day","day_lb","dbl_neg","isl_pos","islctnt_pos","ctnt_pos","tot_isl","tot_ctnt","set","genotype"
"B1_Sample1.fcs",NA,1,"S3D21","CTRL","CTRL",3,"D3",76.3,23.3,0.15,0.22,23.45,0.37,"S3","D21"
"B10_Sample2.fcs",NA,1,"S3D21","RA","RA",6,"D6",72.4,23.8,2.28,1.58,26.08,3.86,"S3","D21"
"B11_Sample3.fcs",NA,1,"S3D21","RA","RA",8,"D8",63.3,6.82,12.3,17.6,19.12,29.9,"S3","D21"
"B12_Sample4.fcs",NA,1,"S3D21","RA","RA",10,"D10",51.4,2.77,6.59,39.3,9.36,45.89,"S3","D21"
"B2_Sample2.fcs",NA,1,"S3D21","CTRL","CTRL",4,"D4",15.9,83.8,0.2,0.12,84,0.32,"S3","D21"
"B3_Sample3.fcs",NA,1,"S3D21","CTRL","CTRL",5,"D5",14.6,83.1,1.97,0.28,85.07,2.25,"S3","D21"
"B4_Sample4.fcs",NA,1,"S3D21","CTRL","CTRL",6,"D6",23.2,43.7,30.3,2.77,74,33.07,"S3","D21"
"B5_Sample5.fcs",NA,1,"S3D21","CTRL","CTRL",7,"D7",35.8,28.6,29.2,6.42,57.8,35.62,"S3","D21"
"B6_Sample6.fcs",NA,1,"S3D21","CTRL","CTRL",8,"D8",40.7,15.9,21.3,22.2,37.2,43.5,"S3","D21"
"B7_Sample7.fcs",NA,1,"S3D21","CTRL","CTRL",9,"D9",34.2,11.8,27.5,26.5,39.3,54,"S3","D21"
"B8_Sample8.fcs",NA,1,"S3D21","CTRL","CTRL",10,"D10",41.3,9.05,22.7,27,31.75,49.7,"S3","D21"
"B9_Sample1.fcs",NA,1,"S3D21","RA","RA",4,"D4",77,22.9,0.066,0.088,22.966,0.154,"S3","D21"
"C1_Sample9.fcs",NA,1,"S3T21","CTRL","CTRL",3,"D3",80.3,19.3,0.16,0.23,19.46,0.39,"S3","T21"
"C10_Sample6.fcs",NA,1,"S3T21","RA","RA",6,"D6",43.8,44.4,10.3,1.5,54.7,11.8,"S3","T21"
"C11_Sample7.fcs",NA,1,"S3T21","RA","RA",8,"D8",37.3,1.76,11.7,49.2,13.46,60.9,"S3","T21"
"C12_Sample8.fcs",NA,1,"S3T21","RA","RA",10,"D10",29,0.36,1.35,69.3,1.71,70.65,"S3","T21"
"C2_Sample10.fcs",NA,1,"S3T21","CTRL","CTRL",4,"D4",37.8,61.8,0.2,0.24,62,0.44,"S3","T21"
"C3_Sample11.fcs",NA,1,"S3T21","CTRL","CTRL",5,"D5",15.3,83.8,0.75,0.16,84.55,0.91,"S3","T21"
"C4_Sample12.fcs",NA,1,"S3T21","CTRL","CTRL",6,"D6",20.7,52.5,23.7,3.12,76.2,26.82,"S3","T21"
"C5_Sample13.fcs",NA,1,"S3T21","CTRL","CTRL",7,"D7",26.6,40,28.2,5.19,68.2,33.39,"S3","T21"
"C6_Sample14.fcs",NA,1,"S3T21","CTRL","CTRL",8,"D8",31.9,23.1,25.3,19.7,48.4,45,"S3","T21"
"C7_Sample15.fcs",NA,1,"S3T21","CTRL","CTRL",9,"D9",36.7,18.4,22.2,22.7,40.6,44.9,"S3","T21"
"C8_Sample16.fcs",NA,1,"S3T21","CTRL","CTRL",10,"D10",41,12.4,16.3,30.3,28.7,46.6,"S3","T21"
"C9_Sample5.fcs",NA,1,"S3T21","RA","RA",4,"D4",74.3,25.5,0.097,0.089,25.597,0.186,"S3","T21"
"D1_Sample17.fcs",NA,2,"S3D21","CTRL","CTRL",3,"D3",87.4,12.3,0.18,0.11,12.48,0.29,"S3","D21"
"D10_Sample10.fcs",NA,2,"S3D21","RA","RA",6,"D6",70.3,25.6,2.99,1.07,28.59,4.06,"S3","D21"
"D11_Sample11.fcs",NA,2,"S3D21","RA","RA",8,"D8",71.3,15.1,8.72,4.81,23.82,13.53,"S3","D21"
"D12_Sample12.fcs",NA,2,"S3D21","RA","RA",10,"D10",66.6,7.24,11.7,14.5,18.94,26.2,"S3","D21"
"D2_Sample18.fcs",NA,2,"S3D21","CTRL","CTRL",4,"D4",27.6,72.3,0.1,0.015,72.4,0.115,"S3","D21"
"D3_Sample19.fcs",NA,2,"S3D21","CTRL","CTRL",5,"D5",26.1,73.4,0.35,0.18,73.75,0.53,"S3","D21"
"D4_Sample20.fcs",NA,2,"S3D21","CTRL","CTRL",6,"D6",31.8,45.3,20,2.88,65.3,22.88,"S3","D21"
"D5_Sample21.fcs",NA,2,"S3D21","CTRL","CTRL",7,"D7",29.9,25.3,40.5,4.24,65.8,44.74,"S3","D21"
"D6_Sample22.fcs",NA,2,"S3D21","CTRL","CTRL",8,"D8",37.7,13.4,29.3,19.6,42.7,48.9,"S3","D21"
"D7_Sample23.fcs",NA,2,"S3D21","CTRL","CTRL",9,"D9",32.2,10,38.5,19.3,48.5,57.8,"S3","D21"
"D8_Sample24.fcs",NA,2,"S3D21","CTRL","CTRL",10,"D10",42,7.56,23.4,26.9,30.96,50.3,"S3","D21"
"D9_Sample9.fcs",NA,2,"S3D21","RA","RA",4,"D4",69.7,30.2,0.1,0.015,30.3,0.115,"S3","D21"
"E1_Sample25.fcs",NA,2,"S3T21","CTRL","CTRL",3,"D3",95.5,4.37,0.091,0.035,4.461,0.126,"S3","T21"
"E10_Sample14.fcs",NA,2,"S3T21","RA","RA",6,"D6",49.4,31.7,13,5.84,44.7,18.84,"S3","T21"
"E11_Sample15.fcs",NA,2,"S3T21","RA","RA",8,"D8",40.7,4.85,16.1,38.4,20.95,54.5,"S3","T21"
"E12_Sample16.fcs",NA,2,"S3T21","RA","RA",10,"D10",39.9,1.63,8.35,50.2,9.98,58.55,"S3","T21"
"E2_Sample26.fcs",NA,2,"S3T21","CTRL","CTRL",4,"D4",68.4,31.5,0.066,0.044,31.566,0.11,"S3","T21"
"E3_Sample27.fcs",NA,2,"S3T21","CTRL","CTRL",5,"D5",40,59.9,0.077,0.046,59.977,0.123,"S3","T21"
"E4_Sample28.fcs",NA,2,"S3T21","CTRL","CTRL",6,"D6",30.7,65.3,3.28,0.71,68.58,3.99,"S3","T21"
"E5_Sample29.fcs",NA,2,"S3T21","CTRL","CTRL",7,"D7",29.7,39.8,27.3,3.23,67.1,30.53,"S3","T21"
"E6_Sample30.fcs",NA,2,"S3T21","CTRL","CTRL",8,"D8",32.5,23.4,35.6,8.47,59,44.07,"S3","T21"
"E7_Sample31.fcs",NA,2,"S3T21","CTRL","CTRL",9,"D9",35.3,14.2,36.4,14.1,50.6,50.5,"S3","T21"
"E8_Sample32.fcs",NA,2,"S3T21","CTRL","CTRL",10,"D10",39.3,12.9,32.5,15.3,45.4,47.8,"S3","T21"
"E9_Sample13.fcs",NA,2,"S3T21","RA","RA",4,"D4",72,27.8,0.1,0.059,27.9,0.159,"S3","T21"
"F1_Sample33.fcs",NA,3,"S3D21","CTRL","CTRL",3,"D3",93.4,6.42,0.16,0.046,6.58,0.206,"S3","D21"
"F10_Sample18.fcs",NA,3,"S3D21","RA","RA",6,"D6",54.8,40,4.25,0.91,44.25,5.16,"S3","D21"
"F11_Sample19.fcs",NA,3,"S3D21","RA","RA",8,"D8",52.3,10.1,20.5,17.1,30.6,37.6,"S3","D21"
"F12_Sample20.fcs",NA,3,"S3D21","RA","RA",10,"D10",56.7,0.56,0.77,41.9,1.33,42.67,"S3","D21"
"F2_Sample34.fcs",NA,3,"S3D21","CTRL","CTRL",4,"D4",75.5,24.3,0.15,0.039,24.45,0.189,"S3","D21"
"F3_Sample35.fcs",NA,3,"S3D21","CTRL","CTRL",5,"D5",48.4,51.4,0.23,0.03,51.63,0.26,"S3","D21"
"F4_Sample36.fcs",NA,3,"S3D21","CTRL","CTRL",6,"D6",65.5,31.8,1.98,0.67,33.78,2.65,"S3","D21"
"F5_Sample37.fcs",NA,3,"S3D21","CTRL","CTRL",7,"D7",35.6,32.9,26.8,4.73,59.7,31.53,"S3","D21"
"F6_Sample38.fcs",NA,3,"S3D21","CTRL","CTRL",8,"D8",37.8,24.6,16,21.7,40.6,37.7,"S3","D21"
"F7_Sample39.fcs",NA,3,"S3D21","CTRL","CTRL",9,"D9",41.5,22.5,15.6,20.4,38.1,36,"S3","D21"
"F8_Sample40.fcs",NA,3,"S3D21","CTRL","CTRL",10,"D10",71.7,0.69,0.57,27,1.26,27.57,"S3","D21"
"F9_Sample17.fcs",NA,3,"S3D21","RA","RA",4,"D4",91.7,8.12,0.13,0.067,8.25,0.197,"S3","D21"
"G1_Sample41.fcs",NA,3,"S3T21","CTRL","CTRL",3,"D3",93.1,6.68,0.16,0.11,6.84,0.27,"S3","T21"
"G10_Sample22.fcs",NA,3,"S3T21","RA","RA",6,"D6",49.9,36,11.2,2.94,47.2,14.14,"S3","T21"
"G11_Sample23.fcs",NA,3,"S3T21","RA","RA",8,"D8",40.3,5.95,22.3,31.4,28.25,53.7,"S3","T21"
"G12_Sample24.fcs",NA,3,"S3T21","RA","RA",10,"D10",40.9,0.44,0.42,58.2,0.86,58.62,"S3","T21"
"G2_Sample42.fcs",NA,3,"S3T21","CTRL","CTRL",4,"D4",46.4,53.4,0.14,0.056,53.54,0.196,"S3","T21"
"G3_Sample43.fcs",NA,3,"S3T21","CTRL","CTRL",5,"D5",33.8,65.3,0.75,0.11,66.05,0.86,"S3","T21"
"G4_Sample44.fcs",NA,3,"S3T21","CTRL","CTRL",6,"D6",51.9,33.9,11.2,2.95,45.1,14.15,"S3","T21"
"G5_Sample45.fcs",NA,3,"S3T21","CTRL","CTRL",7,"D7",38.3,33.5,20.8,7.34,54.3,28.14,"S3","T21"
"G6_Sample46.fcs",NA,3,"S3T21","CTRL","CTRL",8,"D8",45.1,21.2,15.7,18,36.9,33.7,"S3","T21"
"G7_Sample47.fcs",NA,3,"S3T21","CTRL","CTRL",9,"D9",52.5,19.9,14.3,13.2,34.2,27.5,"S3","T21"
"G8_Sample48.fcs",NA,3,"S3T21","CTRL","CTRL",10,"D10",51.6,19,16,13.4,35,29.4,"S3","T21"
"G9_Sample21.fcs",NA,3,"S3T21","RA","RA",4,"D4",66.9,32.9,0.14,0.054,33.04,0.194,"S3","T21"
