"well","sample","plate","exp_no","cell","treatment_label","treatment","day","day_lb","dbl_neg","isl_pos","islctnt_pos","ctnt_pos","tot_isl","tot_ctnt","set","genotype"
"E1","S2D21_D9_NT_2",1,2,"S2D21","No Treatment","NT",9,"D9",35.9,6.33,15.7,42,22.03,57.7,"S2","D21"
"E2","S2D21_D10_NT_2",1,2,"S2D21","No Treatment","NT",10,"D10",36.8,3.28,14.5,45.5,17.78,60,"S2","D21"
"E3","S2D21_D4_1uM_RA_2",1,2,"S2D21","1uM RA","RA",4,"D4",57.9,41.8,0.17,0.11,41.97,0.28,"S2","D21"
"E4","S2D21_D5_1uM_RA_2",1,2,"S2D21","1uM RA","RA",5,"D5",57.3,41.6,0.74,0.33,42.34,1.07,"S2","D21"
"E5","S2D21_D6_1uM_RA_2",1,2,"S2D21","1uM RA","RA",6,"D6",48.9,33.3,15.2,2.55,48.5,17.75,"S2","D21"
"E6","S2D21_D7_1uM_RA_2",1,2,"S2D21","1uM RA","RA",7,"D7",46.4,12.4,18.7,22.4,31.1,41.1,"S2","D21"
"E7","S2D21_D8_1uM_RA_2",1,2,"S2D21","1uM RA","RA",8,"D8",30.3,3.25,18.3,48.1,21.55,66.4,"S2","D21"
"E8","S2D21_D9_1uM_RA_2",1,2,"S2D21","1uM RA","RA",9,"D9",37,1.88,8.23,52.9,10.11,61.13,"S2","D21"
"E9","S2D21_D10_1uM_RA_2",1,2,"S2D21","1uM RA","RA",10,"D10",25.9,1.28,3.42,69.4,4.7,72.82,"S2","D21"
"E10","S2T21_D3_NT_2",1,2,"S2T21","No Treatment","NT",3,"D3",84.7,15.1,0.1,0.082,15.2,0.182,"S2","T21"
"E11","S2T21_D4_NT_2",1,2,"S2T21","No Treatment","NT",4,"D4",21.8,78.1,0.054,0.021,78.154,0.075,"S2","T21"
"E12","S2T21_D5_NT_2",1,2,"S2T21","No Treatment","NT",5,"D5",36.5,61.5,1.92,0.065,63.42,1.985,"S2","T21"
"F1","S2T21_D6_NT_2",1,2,"S2T21","No Treatment","NT",6,"D6",43.9,36.5,17.6,1.93,54.1,19.53,"S2","T21"
"F2","S2T21_D7_NT_2",1,2,"S2T21","No Treatment","NT",7,"D7",48.2,26.2,19.8,5.89,46,25.69,"S2","T21"
"F3","S2T21_D8_NT_2",1,2,"S2T21","No Treatment","NT",8,"D8",43.5,14.6,22.8,19.1,37.4,41.9,"S2","T21"
"F4","S2T21_D9_NT_2",1,2,"S2T21","No Treatment","NT",9,"D9",49.6,13.3,17.6,19.5,30.9,37.1,"S2","T21"
"F5","S2T21_D10_NT_2",1,2,"S2T21","No Treatment","NT",10,"D10",50.6,9.43,17,22.9,26.43,39.9,"S2","T21"
"F6","S2T21_D4_1uM_RA_2",1,2,"S2T21","1uM RA","RA",4,"D4",69.5,30.4,0.019,0.048,30.419,0.067,"S2","T21"
"F7","S2T21_D5_1uM_RA_2",1,2,"S2T21","1uM RA","RA",5,"D5",70.5,28.5,0.46,0.57,28.96,1.03,"S2","T21"
"F8","S2T21_D6_1uM_RA_2",1,2,"S2T21","1uM RA","RA",6,"D6",71.6,19,8.17,1.25,27.17,9.42,"S2","T21"
"F9","S2T21_D7_1uM_RA_2",1,2,"S2T21","1uM RA","RA",7,"D7",71.2,15.3,10.8,2.74,26.1,13.54,"S2","T21"
"F10","S2T21_D8_1uM_RA_2",1,2,"S2T21","1uM RA","RA",8,"D8",63.8,6.28,20.4,9.48,26.68,29.88,"S2","T21"
"F11","S2T21_D9_1uM_RA_2",1,2,"S2T21","1uM RA","RA",9,"D9",56.5,3.91,15.3,24.2,19.21,39.5,"S2","T21"
"F12","S2T21_D10_1uM_RA_2",1,2,"S2T21","1uM RA","RA",10,"D10",49.4,1.36,9.53,39.7,10.89,49.23,"S2","T21"
"G1","S2D21_D3_NT_3",1,3,"S2D21","No Treatment","NT",3,"D3",76.4,23.5,0.038,0.019,23.538,0.057,"S2","D21"
"G2","S2D21_D4_NT_3",1,3,"S2D21","No Treatment","NT",4,"D4",30.2,69.7,0.059,0.00989,69.759,0.06889,"S2","D21"
"G3","S2D21_D5_NT_3",1,3,"S2D21","No Treatment","NT",5,"D5",28.9,68.4,2.69,0.051,71.09,2.741,"S2","D21"
"G4","S2D21_D6_NT_3",1,3,"S2D21","No Treatment","NT",6,"D6",36.9,30.4,29.8,2.95,60.2,32.75,"S2","D21"
"G5","S2D21_D7_NT_3",1,3,"S2D21","No Treatment","NT",7,"D7",55.6,12.2,14.4,17.8,26.6,32.2,"S2","D21"
"G6","S2D21_D8_NT_3",1,3,"S2D21","No Treatment","NT",8,"D8",44.5,7.68,8.62,39.2,16.3,47.82,"S2","D21"
"G7","S2D21_D9_NT_3",1,3,"S2D21","No Treatment","NT",9,"D9",50.2,5.46,15,29.4,20.46,44.4,"S2","D21"
"G8","S2D21_D10_NT_3",1,3,"S2D21","No Treatment","NT",10,"D10",55.6,3.61,11.5,29.2,15.11,40.7,"S2","D21"
"G9","S2T21_D3_NT_3",1,3,"S2T21","No Treatment","NT",3,"D3",80.7,19.2,0.036,0.091,19.236,0.127,"S2","T21"
"G10","S2T21_D4_NT_3",1,3,"S2T21","No Treatment","NT",4,"D4",17.6,82.2,0.11,0.074,82.31,0.184,"S2","T21"
"G11","S2T21_D5_NT_3",1,3,"S2T21","No Treatment","NT",5,"D5",28,66.8,5.01,0.2,71.81,5.21,"S2","T21"
"G12","S2T21_D6_NT_3",1,3,"S2T21","No Treatment","NT",6,"D6",28.7,40.1,28.8,2.33,68.9,31.13,"S2","T21"
"H1","S2T21_D7_NT_3",1,3,"S2T21","No Treatment","NT",7,"D7",39.7,24.8,26.8,8.68,51.6,35.48,"S2","T21"
"H2","S2T21_D8_NT_3",1,3,"S2T21","No Treatment","NT",8,"D8",44.4,13,15.7,26.9,28.7,42.6,"S2","T21"
"H3","S2T21_D9_NT_3",1,3,"S2T21","No Treatment","NT",9,"D9",39.7,12.8,20.8,26.7,33.6,47.5,"S2","T21"
"H4","S2T21_D10_NT_3",1,3,"S2T21","No Treatment","NT",10,"D10",48.1,9.36,18.3,24.3,27.66,42.6,"S2","T21"
"B1","S2D21_D4_1uM_RA_3",2,3,"S2D21","1uM RA","RA",4,"D4",58.1,41.6,0.18,0.1,41.78,0.28,"S2","D21"
"B2","S2D21_D5_1uM_RA_3",2,3,"S2D21","1uM RA","RA",5,"D5",53.2,44.9,1.39,0.61,46.29,2,"S2","D21"
"B3","S2D21_D6_1uM_RA_3",2,3,"S2D21","1uM RA","RA",6,"D6",53.8,17.5,25.2,3.56,42.7,28.76,"S2","D21"
"B4","S2D21_D7_1uM_RA_3",2,3,"S2D21","1uM RA","RA",7,"D7",57.2,4.1,22.9,15.8,27,38.7,"S2","D21"
"B5","S2D21_D8_1uM_RA_3",2,3,"S2D21","1uM RA","RA",8,"D8",40.8,2.71,18,38.5,20.71,56.5,"S2","D21"
