"label","plate_no","exp_no","cell","treatment","treatment_label","treatment_no","day","day_lb","dbl_neg","isl_pos","islctnt_pos","ctnt_pos","tot_isl","tot_ctnt","set","genotype"
"H2_Sample74.fcs",1,2,"S4D21","RA","1uM RA",1,5,"D5",60.5,39.3,0.1,0.094,39.4,0.194,"S4","D21"
"H3_Sample75.fcs",1,3,"S4D21","RA","1uM RA",1,5,"D5",60,39.9,0.031,0.063,39.931,0.094,"S4","D21"
"H4_Sample76.fcs",1,4,"S4D21","RA","1uM RA",1,5,"D5",51,48.4,0.35,0.19,48.75,0.54,"S4","D21"
"D1_Sample25.fcs",2,1,"S4D21","RA","1uM RA",1,6,"D6",45.8,48.7,5.05,0.48,53.75,5.53,"S4","D21"
"D2_Sample26.fcs",2,2,"S4D21","RA","1uM RA",1,6,"D6",36.4,54,9.23,0.4,63.23,9.63,"S4","D21"
"D3_Sample27.fcs",2,3,"S4D21","RA","1uM RA",1,6,"D6",39.2,52,8.51,0.32,60.51,8.83,"S4","D21"
"D4_Sample28.fcs",2,4,"S4D21","RA","1uM RA",1,6,"D6",38.1,56.7,4.87,0.4,61.57,5.27,"S4","D21"
"F9_Sample57.fcs",2,1,"S4D21","RA","1uM RA",1,7,"D7",54.8,24.6,18.9,1.78,43.5,20.68,"S4","D21"
"F10_Sample58.fcs",2,2,"S4D21","RA","1uM RA",1,7,"D7",55.3,29.1,13.8,1.86,42.9,15.66,"S4","D21"
"F11_Sample59.fcs",2,3,"S4D21","RA","1uM RA",1,7,"D7",48.6,29.4,21.2,0.84,50.6,22.04,"S4","D21"
"F12_Sample60.fcs",2,4,"S4D21","RA","1uM RA",1,7,"D7",51.9,33.7,12.4,2.01,46.1,14.41,"S4","D21"
"D1_Sample25.fcs",3,1,"S4D21","RA","1uM RA",1,8,"D8",62,10.6,20.2,7.2,30.8,27.4,"S4","D21"
"D2_Sample26.fcs",3,2,"S4D21","RA","1uM RA",1,8,"D8",58,17.6,18.7,5.71,36.3,24.41,"S4","D21"
"D3_Sample27.fcs",3,3,"S4D21","RA","1uM RA",1,8,"D8",59.8,10.3,25.4,4.49,35.7,29.89,"S4","D21"
"D4_Sample28.fcs",3,4,"S4D21","RA","1uM RA",1,8,"D8",58.6,15.8,17,8.55,32.8,25.55,"S4","D21"
"F9_Sample57.fcs",3,1,"S4D21","RA","1uM RA",1,9,"D9",62.8,4.7,14.1,18.5,18.8,32.6,"S4","D21"
"F10_Sample58.fcs",3,2,"S4D21","RA","1uM RA",1,9,"D9",60.8,6.99,13,19.1,19.99,32.1,"S4","D21"
"F11_Sample59.fcs",3,3,"S4D21","RA","1uM RA",1,9,"D9",69.3,5.54,14.7,10.5,20.24,25.2,"S4","D21"
"F12_Sample60.fcs",3,4,"S4D21","RA","1uM RA",1,9,"D9",71.8,9.13,9.15,9.95,18.28,19.1,"S4","D21"
"D1_Sample25.fcs",4,1,"S4D21","RA","1uM RA",1,10,"D10",68.7,2.18,6.09,23,8.27,29.09,"S4","D21"
"D2_Sample26.fcs",4,2,"S4D21","RA","1uM RA",1,10,"D10",54.7,7.23,7.52,30.5,14.75,38.02,"S4","D21"
"D3_Sample27.fcs",4,3,"S4D21","RA","1uM RA",1,10,"D10",69.4,6.28,8.72,15.6,15,24.32,"S4","D21"
"D4_Sample28.fcs",4,4,"S4D21","RA","1uM RA",1,10,"D10",59.4,8.69,9.1,22.8,17.79,31.9,"S4","D21"
"E9_Sample45.fcs",1,1,"S4T21","RA","1uM RA",1,4,"D4",24.3,75.5,0.17,0.038,75.67,0.208,"S4","T21"
"E10_Sample46.fcs",1,2,"S4T21","RA","1uM RA",1,4,"D4",30.7,69.1,0.1,0.028,69.2,0.128,"S4","T21"
"E11_Sample47.fcs",1,3,"S4T21","RA","1uM RA",1,4,"D4",32.6,67.1,0.21,0.082,67.31,0.292,"S4","T21"
"E12_Sample48.fcs",1,4,"S4T21","RA","1uM RA",1,4,"D4",33.6,66.4,0.061,0.00873,66.461,0.06973,"S4","T21"
"H5_Sample77.fcs",1,1,"S4T21","RA","1uM RA",1,5,"D5",43,56.2,0.65,0.17,56.85,0.82,"S4","T21"
"H6_Sample78.fcs",1,2,"S4T21","RA","1uM RA",1,5,"D5",45.2,54,0.63,0.11,54.63,0.74,"S4","T21"
"H7_Sample79.fcs",1,3,"S4T21","RA","1uM RA",1,5,"D5",46.7,52.8,0.39,0.12,53.19,0.51,"S4","T21"
"H8_Sample80.fcs",1,4,"S4T21","RA","1uM RA",1,5,"D5",37.8,59.3,2.55,0.4,61.85,2.95,"S4","T21"
"D5_Sample29.fcs",2,1,"S4T21","RA","1uM RA",1,6,"D6",33.6,53.6,12.3,0.46,65.9,12.76,"S4","T21"
"D6_Sample30.fcs",2,2,"S4T21","RA","1uM RA",1,6,"D6",33,55.2,11.2,0.6,66.4,11.8,"S4","T21"
"D7_Sample31.fcs",2,3,"S4T21","RA","1uM RA",1,6,"D6",35.1,50.6,13.8,0.44,64.4,14.24,"S4","T21"
"D8_Sample32.fcs",2,4,"S4T21","RA","1uM RA",1,6,"D6",31.8,58.2,9.51,0.54,67.71,10.05,"S4","T21"
"G1_Sample61.fcs",2,1,"S4T21","RA","1uM RA",1,7,"D7",44.9,26.9,26.1,2.13,53,28.23,"S4","T21"
"G2_Sample62.fcs",2,2,"S4T21","RA","1uM RA",1,7,"D7",46.8,27.9,21.5,3.82,49.4,25.32,"S4","T21"
"G3_Sample63.fcs",2,3,"S4T21","RA","1uM RA",1,7,"D7",49.1,23.1,24.7,3.11,47.8,27.81,"S4","T21"
"G4_Sample64.fcs",2,4,"S4T21","RA","1uM RA",1,7,"D7",46.2,29,20.5,4.23,49.5,24.73,"S4","T21"
"D5_Sample29.fcs",3,1,"S4T21","RA","1uM RA",1,8,"D8",50.1,17.1,24.6,8.21,41.7,32.81,"S4","T21"
"D6_Sample30.fcs",3,2,"S4T21","RA","1uM RA",1,8,"D8",57.5,18.2,14.6,9.8,32.8,24.4,"S4","T21"
"D7_Sample31.fcs",3,3,"S4T21","RA","1uM RA",1,8,"D8",55.1,11,19.6,14.3,30.6,33.9,"S4","T21"
"D8_Sample32.fcs",3,4,"S4T21","RA","1uM RA",1,8,"D8",50,20.1,20.3,9.58,40.4,29.88,"S4","T21"
"G1_Sample61.fcs",3,1,"S4T21","RA","1uM RA",1,9,"D9",65.7,5.85,10.9,17.5,16.75,28.4,"S4","T21"
"G2_Sample62.fcs",3,2,"S4T21","RA","1uM RA",1,9,"D9",66.1,8.5,10.2,15.1,18.7,25.3,"S4","T21"
"G3_Sample63.fcs",3,3,"S4T21","RA","1uM RA",1,9,"D9",58.7,5.49,15.2,20.6,20.69,35.8,"S4","T21"
"G4_Sample64.fcs",3,4,"S4T21","RA","1uM RA",1,9,"D9",58.9,9.41,15.7,16,25.11,31.7,"S4","T21"
"D5_Sample29.fcs",4,1,"S4T21","RA","1uM RA",1,10,"D10",68.8,5.48,7.18,18.5,12.66,25.68,"S4","T21"
"D6_Sample30.fcs",4,2,"S4T21","RA","1uM RA",1,10,"D10",72,7.02,4.61,16.3,11.63,20.91,"S4","T21"
"D7_Sample31.fcs",4,3,"S4T21","RA","1uM RA",1,10,"D10",58.7,2.77,6.01,32.5,8.78,38.51,"S4","T21"
"D8_Sample32.fcs",4,4,"S4T21","RA","1uM RA",1,10,"D10",61.1,8.09,8.41,22.4,16.5,30.81,"S4","T21"
