"label","plate_no","exp_no","cell","treatment","treatment_label","treatment_no","day","day_lb","dbl_neg","isl_pos","islctnt_pos","ctnt_pos","tot_isl","tot_ctnt","set","genotype"
"C11_Sample23.fcs",1,3,"S3T21","NT","No Treatment",0,4,"D4",40.9,58.9,0.093,0.1,58.993,0.193,"S3","T21"
"C12_Sample24.fcs",1,4,"S3T21","NT","No Treatment",0,4,"D4",35.3,64.4,0.24,0.073,64.64,0.313,"S3","T21"
"F5_Sample53.fcs",1,1,"S3T21","NT","No Treatment",0,5,"D5",14.1,85.2,0.67,0.094,85.87,0.764,"S3","T21"
"F6_Sample54.fcs",1,2,"S3T21","NT","No Treatment",0,5,"D5",15.4,82.8,1.73,0.032,84.53,1.762,"S3","T21"
"F7_Sample55.fcs",1,3,"S3T21","NT","No Treatment",0,5,"D5",19.9,77.5,2.26,0.3,79.76,2.56,"S3","T21"
"F8_Sample56.fcs",1,4,"S3T21","NT","No Treatment",0,5,"D5",16.2,82.5,1.18,0.06,83.68,1.24,"S3","T21"
"B5_Sample5.fcs",2,1,"S3T21","NT","No Treatment",0,6,"D6",10.7,50.2,37.8,1.21,88,39.01,"S3","T21"
"B6_Sample6.fcs",2,2,"S3T21","NT","No Treatment",0,6,"D6",12.6,49.8,36.6,1,86.4,37.6,"S3","T21"
"B7_Sample7.fcs",2,3,"S3T21","NT","No Treatment",0,6,"D6",9.74,65.5,24.4,0.45,89.9,24.85,"S3","T21"
"B8_Sample8.fcs",2,4,"S3T21","NT","No Treatment",0,6,"D6",13.6,49.8,35.5,1.1,85.3,36.6,"S3","T21"
"E1_Sample37.fcs",2,1,"S3T21","NT","No Treatment",0,7,"D7",30.5,24.1,41.8,3.55,65.9,45.35,"S3","T21"
"E2_Sample38.fcs",2,2,"S3T21","NT","No Treatment",0,7,"D7",31.4,27.9,37.3,3.5,65.2,40.8,"S3","T21"
"E3_Sample39.fcs",2,3,"S3T21","NT","No Treatment",0,7,"D7",19.5,37.9,40.1,2.48,78,42.58,"S3","T21"
