sampleID_unique,score,module,sampleID,genotype,treatment_protocol,timepoint,fullSampleID,sex,experimentalBatch,treatment,genotype_treatment,genotype_timepoint,genotype_timepoint_treatment,genotype_timepoint_treatment_batch,seq_run,cell_set,sampleID_original,group,day_num
Set3_SAB43,0.03487943243875058,xu_atrial,SAB43,D21,No Treatment,D6,S3D21_D6_ctrl_3,F,3,CTRL,D21_CTRL,D21_D6,D21_D6_CTRL,D21_D6_CTRL_3,1,Set3,SAB43,D21_CTRL_D6,6
Set3_SAB44,0.08757574041565208,xu_atrial,SAB44,T21,No Treatment,D6,S3T21 _D6_ctrl_3,F,3,CTRL,T21_CTRL,T21_D6,T21_D6_CTRL,T21_D6_CTRL_3,1,Set3,SAB44,T21_CTRL_D6,6
Set3_SAB45,0.07797215337279895,xu_atrial,SAB45,D21,1uM RA D3-D5,D6,S3D21_D6_RA_3,F,3,RA,D21_RA,D21_D6,D21_D6_RA,D21_D6_RA_3,1,Set3,SAB45,D21_RA_D6,6
Set3_SAB46,0.13507240442514246,xu_atrial,SAB46,T21,1uM RA D3-D5,D6,S3T21 _D6_RA_3,F,3,RA,T21_RA,T21_D6,T21_D6_RA,T21_D6_RA_3,1,Set3,SAB46,T21_RA_D6,6
Set3_SAB47,0.26083525361513926,xu_atrial,SAB47,D21,No Treatment,D8,S3D21_D8_ctrl_3,F,3,CTRL,D21_CTRL,D21_D8,D21_D8_CTRL,D21_D8_CTRL_3,1,Set3,SAB47,D21_CTRL_D8,8
Set3_SAB48,0.24753920787105,xu_atrial,SAB48,T21,No Treatment,D8,S3T21 _D8_ctrl_3,F,3,CTRL,T21_CTRL,T21_D8,T21_D8_CTRL,T21_D8_CTRL_3,1,Set3,SAB48,T21_CTRL_D8,8
Set3_SAB49,0.29789923348448744,xu_atrial,SAB49,D21,1uM RA D3-D5,D8,S3D21_D8_RA_3,F,3,RA,D21_RA,D21_D8,D21_D8_RA,D21_D8_RA_3,1,Set3,SAB49,D21_RA_D8,8
Set3_SAB50,0.32075385399469436,xu_atrial,SAB50,T21,1uM RA D3-D5,D8,S3T21 _D8_RA_3,F,3,RA,T21_RA,T21_D8,T21_D8_RA,T21_D8_RA_3,1,Set3,SAB50,T21_RA_D8,8
Set3_SAB51,0.23705134739168376,xu_atrial,SAB51,D21,No Treatment,D10,S3D21_D10_ctrl_3,F,3,CTRL,D21_CTRL,D21_D10,D21_D10_CTRL,D21_D10_CTRL_3,1,Set3,SAB51,D21_CTRL_D10,10
Set3_SAB52,0.2343026944929657,xu_atrial,SAB52,T21,No Treatment,D10,S3T21 _D10_ctrl_3,F,3,CTRL,T21_CTRL,T21_D10,T21_D10_CTRL,T21_D10_CTRL_3,1,Set3,SAB52,T21_CTRL_D10,10
Set3_SAB53,0.30665775133185513,xu_atrial,SAB53,D21,1uM RA D3-D5,D10,S3D21_D10_RA_3,F,3,RA,D21_RA,D21_D10,D21_D10_RA,D21_D10_RA_3,1,Set3,SAB53,D21_RA_D10,10
Set3_SAB54,0.3142749901626395,xu_atrial,SAB54,T21,1uM RA D3-D5,D10,S3T21 _D10_RA_3,F,3,RA,T21_RA,T21_D10,T21_D10_RA,T21_D10_RA_3,1,Set3,SAB54,T21_RA_D10,10
Set4_SAB01,-0.12299895019754581,xu_atrial,SAB01,D21,No Treatment,D3,S4D21_D3_NT_1,M,1,CTRL,D21_CTRL,D21_D3,D21_D3_CTRL,D21_D3_CTRL_1,1,Set4,SAB01,D21_CTRL_D3,3
Set4_SAB02,-0.09840772701070571,xu_atrial,SAB02,T21,No Treatment,D3,S4T21_D3_NT_1,M,1,CTRL,T21_CTRL,T21_D3,T21_D3_CTRL,T21_D3_CTRL_1,1,Set4,SAB02,T21_CTRL_D3,3
Set4_SAB03,-0.09344911652516835,xu_atrial,SAB03,D21,No Treatment,D4,S4D21_D4_NT_1,M,1,CTRL,D21_CTRL,D21_D4,D21_D4_CTRL,D21_D4_CTRL_1,1,Set4,SAB03,D21_CTRL_D4,4
Set4_SAB04,-0.08481692345444541,xu_atrial,SAB04,T21,No Treatment,D4,S4T21_D4_NT_1,M,1,CTRL,T21_CTRL,T21_D4,T21_D4_CTRL,T21_D4_CTRL_1,1,Set4,SAB04,T21_CTRL_D4,4
Set4_SAB05,-0.06208862772088325,xu_atrial,SAB05,D21,1uM RA D3-D5,D4,S4D21_D4_RA_1,M,1,RA,D21_RA,D21_D4,D21_D4_RA,D21_D4_RA_1,1,Set4,SAB05,D21_RA_D4,4
Set4_SAB06,-0.0457738554176631,xu_atrial,SAB06,T21,1uM RA D3-D5,D4,S4T21_D4_RA_1,M,1,RA,T21_RA,T21_D4,T21_D4_RA,T21_D4_RA_1,1,Set4,SAB06,T21_RA_D4,4
Set4_SAB07,0.018849253885212858,xu_atrial,SAB07,D21,No Treatment,D6,S4D21_D6_NT_1,M,1,CTRL,D21_CTRL,D21_D6,D21_D6_CTRL,D21_D6_CTRL_1,1,Set4,SAB07,D21_CTRL_D6,6
Set4_SAB08,0.06131470696281838,xu_atrial,SAB08,T21,No Treatment,D6,S4T21_D6_NT_1,M,1,CTRL,T21_CTRL,T21_D6,T21_D6_CTRL,T21_D6_CTRL_1,1,Set4,SAB08,T21_CTRL_D6,6
Set4_SAB09,0.02927758199857411,xu_atrial,SAB09,D21,1uM RA D3-D5,D6,S4D21_D6_RA_1,M,1,RA,D21_RA,D21_D6,D21_D6_RA,D21_D6_RA_1,1,Set4,SAB09,D21_RA_D6,6
Set4_SAB10,0.08180981296673007,xu_atrial,SAB10,T21,1uM RA D3-D5,D6,S4T21_D6_RA_1,M,1,RA,T21_RA,T21_D6,T21_D6_RA,T21_D6_RA_1,1,Set4,SAB10,T21_RA_D6,6
Set4_SAB12,-0.11697020913284573,xu_atrial,SAB12,T21,No Treatment,D3,S4T21_D3_NT_3,M,3,CTRL,T21_CTRL,T21_D3,T21_D3_CTRL,T21_D3_CTRL_3,1,Set4,SAB12,T21_CTRL_D3,3
Set4_SAB14,-0.08614841564045939,xu_atrial,SAB14,T21,No Treatment,D4,S4T21_D4_NT_3,M,3,CTRL,T21_CTRL,T21_D4,T21_D4_CTRL,T21_D4_CTRL_3,1,Set4,SAB14,T21_CTRL_D4,4
Set4_SAB16,-0.051166616572358714,xu_atrial,SAB16,T21,1uM RA D3-D5,D4,S4T21_D4_RA_3,M,3,RA,T21_RA,T21_D4,T21_D4_RA,T21_D4_RA_3,1,Set4,SAB16,T21_RA_D4,4
Set4_SAB18,0.03313411770855568,xu_atrial,SAB18,T21,No Treatment,D6,S4T21_D6_NT_3,M,3,CTRL,T21_CTRL,T21_D6,T21_D6_CTRL,T21_D6_CTRL_3,1,Set4,SAB18,T21_CTRL_D6,6
Set4_SAB20,0.07544565783990431,xu_atrial,SAB20,T21,1uM RA D3-D5,D6,S4T21_D6_RA_3,M,3,RA,T21_RA,T21_D6,T21_D6_RA,T21_D6_RA_3,1,Set4,SAB20,T21_RA_D6,6
Set4_SAB21,-0.1037220796833459,xu_atrial,SAB21,D21,No Treatment,D3,S4D21_D3_NT_4,M,4,CTRL,D21_CTRL,D21_D3,D21_D3_CTRL,D21_D3_CTRL_4,1,Set4,SAB21,D21_CTRL_D3,3
Set4_SAB22,-0.09553420134426988,xu_atrial,SAB22,T21,No Treatment,D3,S4T21_D3_NT_4,M,4,CTRL,T21_CTRL,T21_D3,T21_D3_CTRL,T21_D3_CTRL_4,1,Set4,SAB22,T21_CTRL_D3,3
Set4_SAB23,-0.08626602836354236,xu_atrial,SAB23,D21,No Treatment,D4,S4D21_D4_NT_4,M,4,CTRL,D21_CTRL,D21_D4,D21_D4_CTRL,D21_D4_CTRL_4,1,Set4,SAB23,D21_CTRL_D4,4
Set4_SAB24,-0.07711982413267876,xu_atrial,SAB24,T21,No Treatment,D4,S4T21_D4_NT_4,M,4,CTRL,T21_CTRL,T21_D4,T21_D4_CTRL,T21_D4_CTRL_4,1,Set4,SAB24,T21_CTRL_D4,4
Set4_SAB25,-0.06653467905520682,xu_atrial,SAB25,D21,1uM RA D3-D5,D4,S4D21_D4_RA_4,M,4,RA,D21_RA,D21_D4,D21_D4_RA,D21_D4_RA_4,1,Set4,SAB25,D21_RA_D4,4
Set4_SAB26,-0.053412874382351705,xu_atrial,SAB26,T21,1uM RA D3-D5,D4,S4T21_D4_RA_4,M,4,RA,T21_RA,T21_D4,T21_D4_RA,T21_D4_RA_4,1,Set4,SAB26,T21_RA_D4,4
