ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,contrast
REACTOME_STRIATED_MUSCLE_CONTRACTION,REACTOME_STRIATED_MUSCLE_CONTRACTION,32,0.32537278555505633,0.8728582275212673,0.6468401486988847,0.7762081784386616,0.4085306202308745,1202,"tags=16%, list=7%, signal=15%",TNNI3/TNNT2/TNNT1/TPM4/TMOD3,D21_D8_RA_vs_CTRL
KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_CARDIAC_MUSCLE_CONTRACTION,68,0.2461775028390477,0.7453649528964669,0.92,0.92,0.4842105263157895,1149,"tags=12%, list=6%, signal=11%",ATP2A2/TNNI3/TNNT2/ATP1B4/CACNB3/TPM4/CACNA2D3/CACNB2,D21_D8_RA_vs_CTRL
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,195,-0.6082124295430543,-2.1479577755421744,2.7910928268815737e-10,1.6746556961289442e-9,5.87598489869805e-10,3885,"tags=65%, list=22%, signal=51%",KIF22/TUBG1/PSIP1/CENPE/NCAPD2/RRM2/RAD1/RPA2/PRKDC/CDC25B/CCP110/UBR7/TRA2B/RBBP7/CIT/BUB1B/TMPO/HMMR/MCM2/KPNA2/ASF1A/AURKB/SSRP1/KIF4A/NUP153/TOP2A/PCNA/TBRG4/BARD1/KIF18B/PPP1R8/NUP107/SMC4/TIMELESS/HNRNPD/EXOSC8/XRCC6/SPAG5/ESPL1/RACGAP1/TCF19/CDCA3/HMGA1/UBE2S/BIRC5/RANBP1/SRSF1/MXD3/HMGB3/PTTG1/KIF2C/MCM7/DLGAP5/USP1/LMNB1/NOLC1/POLD3/ZW10/NUDT21/LYAR/DDX39A/CENPM/ORC6/RFC3/PLK4/RAN/CTCF/CDC25A/MAD2L1/GINS1/RAD21/CDC20/CHEK2/CDK1/DNMT1/PSMC3IP/CCNB2/CHEK1/TACC3/SMC1A/LIG1/TRIP13/CDKN2C/POP7/MCM6/PLK1/NOP56/RFC2/SPC25/ILF3/RPA1/WDR90/SHMT1/POLE/CSE1L/CDCA8/DSCC1/ORC2/HMGB2/NASP/SNRPB/POLD1/PHF5A/MYBL2/MCM5/CKS1B/DEK/MSH2/TK1/RAD51AP1/ASF1B/AURKA/MCM3/BRCA1/PRIM2/UNG/RNASEH2A/POLA2/MELK/SUV39H1/PRDX4/HELLS/E2F8/RPA3/CKS2/MCM4/DIAPH3,T21_D6_RA_vs_CTRL
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,188,-0.603202711469486,-2.1064203173216334,1.3168801002627845e-9,3.950640300788353e-9,1.3861895792239835e-9,3419,"tags=56%, list=19%, signal=46%",CUL3/CDC25B/TRA2B/SRSF10/NUMA1/ABL1/TMPO/HMMR/MCM2/KPNA2/AURKB/CCND1/CASP8AP2/INCENP/KIF4A/SFPQ/G3BP1/HNRNPU/TOP2A/TPX2/BARD1/E2F4/E2F2/KIF15/CCNT1/SMC4/SMC2/HNRNPD/HIRA/ESPL1/RACGAP1/DKC1/HMGA1/UBE2S/POLQ/SNRPD1/BIRC5/SRSF1/EWSR1/HMGB3/PTTG1/FBXO5/KIF2C/LMNB1/NUSAP1/NOLC1/TROAP/DDX39A/TTK/ORC6/PLK4/TNPO2/CTCF/CDC25A/MAD2L1/CCNA2/KIF23/CDC6/UBE2C/NDC80/RAD21/CDC20/KIF20B/CDK1/GINS2/EXO1/KPNB1/CCNB2/CHEK1/CCNF/TACC3/BUB1/SMC1A/TFDP1/CDC45/CDKN2C/MCM6/PLK1/SLC38A1/ILF3/E2F1/POLE/BUB3/UPF1/KATNA1/NASP/STIL/NEK2/MYBL2/MCM5/CKS1B/AURKA/CHAF1A/HMGN2/MCM3/PRIM2/POLA2/SUV39H1/DTYMK/RAD54L/RBM14/TRAIP/CKS2/NUP50/HOXC10,T21_D6_RA_vs_CTRL
GOBP_CARDIAC_MUSCLE_CONTRACTION,GOBP_CARDIAC_MUSCLE_CONTRACTION,143,0.6367812752100358,1.918727052244331,1.4679278584278651e-6,2.9358557168557303e-6,1.030124812931835e-6,1985,"tags=31%, list=11%, signal=28%",KCNA5/PDE4D/PLN/KCNJ3/TNNI3/HCN4/TRDN/GATA4/JPH1/BMP10/SRI/GSTO1/MYBPC3/CACNB2/CACNA1G/RYR2/PDE4B/TNNT2/CTNNA3/CSRP3/SCN3A/KCNE1/SLC8A1/ATP2A2/MYL3/HRC/SCN2B/AKAP9/GSTM2/GJA5/RNF207/ABCC9/SCN3B/KCNJ8/CHGA/ASPH/PPP1R13L/CACNA1D/SCN1A/ADRB3/MAP2K6/NKX2-5/KCNE2/MYH7B/ADRB2,T21_D6_RA_vs_CTRL
KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_CARDIAC_MUSCLE_CONTRACTION,68,0.5400161475860572,1.4710636398288162,0.027701741973964467,0.0415526129609467,0.014579864196823403,754,"tags=12%, list=4%, signal=11%",TNNI3/CACNG6/CACNB2/RYR2/TNNT2/SLC8A1/ATP2A2/MYL3,T21_D6_RA_vs_CTRL
GOBP_SARCOMERE_ORGANIZATION,GOBP_SARCOMERE_ORGANIZATION,47,0.5214057838479199,1.3402383556336157,0.09379968203497616,0.11255961844197138,0.03949460296209523,1071,"tags=26%, list=6%, signal=24%",BMP10/MYPN/LMOD2/MYBPC3/MYOM1/MYOZ2/TNNT2/CSRP3/EDN1/SYNPO2L/OBSCN/MYOM2,T21_D6_RA_vs_CTRL
REACTOME_STRIATED_MUSCLE_CONTRACTION,REACTOME_STRIATED_MUSCLE_CONTRACTION,32,-0.35287016750682343,-0.932555718970632,0.5524296675191815,0.5524296675191815,0.19383497105936193,302,"tags=34%, list=2%, signal=34%",MYL4/TNNT3/ACTN3/MYBPC2/TPM1/TNNC2/TMOD2/ACTC1/ACTN2/VIM/TMOD1,T21_D6_RA_vs_CTRL
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,195,-0.7808091453718424,-2.8881903266572526,1e-10,2e-10,NA,1798,"tags=62%, list=10%, signal=56%",RPA2/MKI67/CDK4/SLBP/HMGA1/NBN/BARD1/HMGB2/POLD1/BRCA2/LYAR/STAG1/DEPDC1/GINS3/TUBB/SSRP1/KPNA2/SYNCRIP/EXOSC8/POLD3/DCLRE1B/CIT/CKS1B/DNMT1/EZH2/CDKN3/DDX39A/SPAG5/NUP205/TOP2A/NCAPD2/KIF18B/CDC25B/HMGB3/SMC1A/SHMT1/SPC24/HNRNPD/HMMR/TMPO/CENPM/RAD21/CDK1/UNG/SUV39H1/XRCC6/ORC6/TRA2B/SMC4/POP7/STMN1/PHF5A/RPA1/BUB1B/MSH2/DIAPH3/NOP56/PLK1/PCNA/DLGAP5/RRM2/AURKB/LMNB1/CDC25A/RANBP1/POLA2/BIRC5/MCM2/KIF4A/AURKA/POLE/DEK/PSMC3IP/SPC25/KIF2C/ILF3/CENPE/CSE1L/TCF19/PLK4/TRIP13/RACGAP1/LBR/CDC20/USP1/RAN/CTCF/RNASEH2A/ESPL1/TK1/RAD51AP1/MCM7/MCM5/ASF1B/MXD3/CHEK1/NUP107/CDCA3/NASP/DSCC1/CDCA8/MCM3/HELLS/TIMELESS/MAD2L1/GINS1/ZW10/MCM6/SNRPB/RFC3/CCNB2/RPA3/TACC3/BRCA1/MCM4/MYBL2/MELK/PRIM2/RFC2/LIG1/CKS2,T21_D8_RA_vs_CTRL
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,188,-0.7653366184268852,-2.8258777112786095,1e-10,2e-10,NA,2025,"tags=62%, list=11%, signal=55%",FANCC/ATF5/SRSF2/SRSF10/CENPF/WRN/HIF1A/RBL1/RPA2/PRC1/MKI67/E2F2/CDK4/HMGA1/NUP98/BARD1/UPF1/TLE3/HNRNPU/KPNB1/BRCA2/HIRA/STAG1/KPNA2/CUL3/SYNCRIP/POLQ/BUB1/TROAP/CKS1B/UBE2C/CDC7/EZH2/DBF4/CDKN3/DDX39A/G3BP1/TOP2A/CBX1/CDC25B/HMGB3/SMC1A/HOXC10/EXO1/ORC5/NEK2/TFDP1/CASP8AP2/CENPA/HNRNPD/HMMR/TMPO/RAD21/CDK1/SUV39H1/E2F1/ORC6/TRA2B/EFNA5/KIF20B/SMC4/INCENP/STMN1/NUSAP1/TPX2/KIF11/PLK1/SFPQ/NDC80/AURKB/LMNB1/FBXO5/CDC25A/POLA2/BIRC5/MCM2/KIF4A/AURKA/POLE/CCNA2/KIF2C/ILF3/CDC6/CENPE/KIF15/KIF23/PLK4/RACGAP1/LBR/CDC20/CTCF/ESPL1/SNRPD1/MCM5/CCNF/CHEK1/GINS2/NASP/CHAF1A/CDC45/MCM3/STIL/RAD54L/MAD2L1/BUB3/MCM6/CCNB2/HMGN2/TACC3/NUP50/MYBL2/TTK/PRIM2/TRAIP/DTYMK/CKS2,T21_D8_RA_vs_CTRL
GOBP_CARDIAC_MUSCLE_CONTRACTION,GOBP_CARDIAC_MUSCLE_CONTRACTION,143,0.7418954018973405,2.417786588869502,1e-10,2e-10,NA,1647,"tags=38%, list=9%, signal=35%",ATP2A2/KCNA5/PDE4D/HCN4/KCNJ3/TNNI3/CACNB2/MYH7B/PLN/MYH7/BMP10/CACNA1G/GATA4/TCAP/ANK2/TRDN/PPP1R13L/CSRP3/ADRB2/ATP1A1/RYR2/TNNT2/KCNE1/TTN/SRI/MYL3/SLC8A1/AKAP9/JPH2/EHD3/ACTC1/NPPA/ATP1A2/VEGFB/MYBPC3/STC1/PDE4B/HRC/TRPM4/GJA5/NKX2-5/KCNE2/JPH1/CTNNA3/ADORA1/JPH4/TMEM38A/SCN2B/MYH6/RNF207/TNNC1/CACNA1D/KCNH2/CACNA1C/SNTA1,T21_D8_RA_vs_CTRL
GOBP_SARCOMERE_ORGANIZATION,GOBP_SARCOMERE_ORGANIZATION,47,0.8070865058295754,2.2109167839937376,1.5242471477822998e-8,2.2863707216734497e-8,NA,1600,"tags=55%, list=9%, signal=50%",LMOD2/AKAP13/MYPN/BMP10/MYOM1/TCAP/ANKRD1/CSRP3/MYLK3/TNNT2/SYNPO2L/TTN/LDB3/OBSCN/ACTN2/MYOZ2/MYBPC3/CFL2/SRF/CSRP1/FLNC/MYOZ1/MYH6/MYOM2/FHOD3/EDN1,T21_D8_RA_vs_CTRL
KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_CARDIAC_MUSCLE_CONTRACTION,68,0.713185950273084,2.0702504602421095,8.054716781351922e-7,9.665660137622306e-7,NA,3832,"tags=60%, list=22%, signal=47%",ATP2A2/TNNI3/CACNB2/MYH7/ATP1B4/CACNB1/ATP1A1/RYR2/TNNT2/MYL3/SLC8A1/ACTC1/ATP1A2/UQCRC2/COX5A/UQCRB/MYH6/TNNC1/CACNG6/CACNA1D/CACNA1C/COX6A2/COX7B/ATP1A3/COX6A1/CACNA1F/COX5B/CYC1/TPM2/CACNA2D1/COX6B1/CACNA2D3/COX7A2/CACNA2D2/CACNG3/TPM1/COX7A2L/UQCRC1/SLC9A6/TPM4/COX8A,T21_D8_RA_vs_CTRL
REACTOME_STRIATED_MUSCLE_CONTRACTION,REACTOME_STRIATED_MUSCLE_CONTRACTION,32,0.7588024666767886,1.9166000682453854,1.1451313561306885e-4,1.1451313561306885e-4,NA,1742,"tags=41%, list=10%, signal=37%",TNNI3/TCAP/TNNT2/TTN/MYL3/ACTN2/ACTC1/MYBPC3/DES/ACTA1/MYH6/TNNC1/MYL4,T21_D8_RA_vs_CTRL
